id,name,sex
SK,Sam Keating,1
AK,Annalise Keating,2
BW,Bonnie Winterbottom,2
CW,Connor Walsh,1
MP,Michaela Prett,2
AM,Asher Millstone,1
FD,Frank Delfino,1
WG,Wes Gibbins,1
LC,Laurel Castillo,2
